Date,Open,High,Low,Close,Volume,Adj Close
12-04-2010,567.35,574.00,566.22,572.73,2352400,572.73
13-04-2010,572.53,588.88,571.13,586.77,3912300,586.77
14-04-2010,590.06,592.34,584.01,589.00,3402700,589.00
15-04-2010,592.17,597.84,588.29,595.30,6761800,595.30
16-04-2010,563.00,568.81,549.63,550.15,12235500,550.15
19-04-2010,548.75,553.99,545.00,550.10,3894000,550.10
20-04-2010,554.17,559.66,551.06,555.04,2977400,555.04
21-04-2010,556.46,560.25,552.16,554.30,2391500,554.30
22-04-2010,552.00,552.50,543.35,547.06,3280700,547.06
23-04-2010,547.25,549.32,542.27,544.99,2089400,544.99
26-04-2010,544.97,544.99,529.21,531.64,4368800,531.64
27-04-2010,528.95,538.33,527.23,529.06,3844700,529.06
28-04-2010,532.10,534.83,521.03,529.19,3406100,529.19
29-04-2010,533.37,536.50,526.67,532.00,3058900,532.00
30-04-2010,531.13,537.68,525.44,525.70,2435400,525.70
03-05-2010,526.50,532.92,525.08,530.60,1857800,530.60
04-05-2010,526.52,526.74,504.21,506.37,6076300,506.37
05-05-2010,500.98,515.72,500.47,509.76,4582200,509.76
06-05-2010,508.75,517.52,460.00,498.67,5000100,498.67
07-05-2010,499.97,505.32,481.33,493.14,5089000,493.14
10-05-2010,513.97,522.82,512.60,521.65,4128000,521.65
11-05-2010,515.67,519.88,508.22,509.05,3322600,509.05
12-05-2010,512.04,512.04,502.00,505.39,3851800,505.39
13-05-2010,516.50,522.00,510.37,510.88,3325800,510.88
14-05-2010,509.77,510.99,496.25,507.53,4116000,507.53
17-05-2010,506.78,508.36,498.35,507.97,2793800,507.97
18-05-2010,510.00,510.97,497.07,498.37,2825500,498.37
19-05-2010,496.26,499.44,487.74,494.43,3445700,494.43
20-05-2010,485.07,485.58,473.80,475.01,4913300,475.01
21-05-2010,469.06,485.00,464.40,472.05,9690800,472.05
24-05-2010,480.73,489.79,476.80,477.16,4345600,477.16
25-05-2010,468.15,477.45,464.01,477.07,3017400,477.07
26-05-2010,482.07,489.76,475.00,475.47,3475600,475.47
27-05-2010,484.95,492.31,481.05,490.46,2809100,490.46
28-05-2010,492.74,493.45,483.00,485.63,2894800,485.63
01-06-2010,480.43,491.06,480.12,482.37,2666800,482.37
02-06-2010,486.68,493.87,481.46,493.37,2540800,493.37
03-06-2010,495.11,508.00,494.70,505.60,3650700,505.60
04-06-2010,499.72,509.25,496.70,498.72,3920300,498.72
07-06-2010,499.06,500.91,483.15,485.52,3632700,485.52
08-06-2010,487.85,488.84,477.54,484.78,2685100,484.78
09-06-2010,487.22,488.88,472.00,474.02,2729000,474.02
10-06-2010,480.37,488.50,475.84,487.01,2577900,487.01
11-06-2010,482.50,488.71,481.62,488.50,1781700,488.50
14-06-2010,494.48,494.50,483.19,483.19,2040400,483.19
15-06-2010,483.08,500.40,482.18,497.99,4259600,497.99
16-06-2010,496.17,504.00,496.11,501.27,2289300,501.27
17-06-2010,503.45,505.87,496.69,500.08,1977300,500.08
18-06-2010,502.51,503.47,498.13,500.03,2872900,500.03
21-06-2010,499.90,500.97,484.89,488.56,2983500,488.56
22-06-2010,489.90,496.60,485.73,486.25,2219700,486.25
23-06-2010,486.89,486.89,478.16,482.05,2029100,482.05
24-06-2010,479.66,482.75,473.26,475.10,1893600,475.10
25-06-2010,477.06,477.65,470.56,472.68,2245200,472.68
28-06-2010,472.59,477.55,469.01,472.08,1762300,472.08
29-06-2010,463.44,464.55,451.12,454.26,3502100,454.26
30-06-2010,454.96,457.83,444.72,444.95,3603200,444.95
01-07-2010,445.29,448.40,433.63,439.49,3513600,439.49
02-07-2010,441.62,442.28,436.00,436.55,1936000,436.55
06-07-2010,444.00,447.67,433.63,436.07,2560100,436.07
07-07-2010,438.31,451.29,435.38,450.20,3129700,450.20
08-07-2010,453.55,457.33,449.66,456.56,2668900,456.56
09-07-2010,471.96,473.26,462.78,467.49,4331500,467.49
12-07-2010,472.37,479.44,471.08,475.83,3334400,475.83
13-07-2010,482.25,492.99,480.28,489.20,3976300,489.20
14-07-2010,489.88,493.83,486.46,491.34,3118000,491.34
15-07-2010,491.73,494.70,482.68,494.02,4858200,494.02
16-07-2010,469.12,470.56,459.52,459.61,7824800,459.61
19-07-2010,461.01,469.65,457.52,466.18,4550300,466.18
20-07-2010,461.03,482.99,460.60,481.59,4054500,481.59
21-07-2010,484.00,485.70,475.43,477.50,3279600,477.50
22-07-2010,483.23,488.98,482.48,484.81,2147700,484.81
23-07-2010,480.77,490.59,480.01,490.06,2264400,490.06
26-07-2010,489.09,490.75,484.88,488.97,1995200,488.97
27-07-2010,490.58,497.50,490.17,492.63,2451200,492.63
28-07-2010,494.94,495.25,482.67,484.35,2496000,484.35
29-07-2010,485.95,488.88,479.33,484.99,2675500,484.99
30-07-2010,479.65,487.36,479.14,484.85,2144100,484.85
02-08-2010,488.99,493.28,486.94,490.41,1858700,490.41
03-08-2010,490.50,492.46,486.76,489.83,1802300,489.83
04-08-2010,492.18,507.00,491.05,506.32,3812500,506.32
05-08-2010,505.89,508.60,503.56,508.10,2420400,508.10
06-08-2010,505.40,505.74,496.05,500.22,3319500,500.22
09-08-2010,502.25,505.50,501.36,505.35,1872200,505.35
10-08-2010,502.35,506.00,498.57,503.71,2074000,503.71
